nth vaddr      bind type lib          name
9   0x00455bac NONE FUNC USER32.dll   FindWindowA
10  0x00455bb0 NONE FUNC USER32.dll   GetMenuItemCount
11  0x00455bb4 NONE FUNC USER32.dll   GetSubMenu
12  0x00455bb8 NONE FUNC USER32.dll   GetFocus
13  0x00455bbc NONE FUNC USER32.dll   EnableWindow
14  0x00455bc0 NONE FUNC USER32.dll   InsertMenuA
15  0x00455bc4 NONE FUNC USER32.dll   InvalidateRect
16  0x00455bc8 NONE FUNC USER32.dll   GetWindowTextA
17  0x00455bcc NONE FUNC USER32.dll   IsIconic
18  0x00455bd0 NONE FUNC USER32.dll   IsWindow
19  0x00455bd4 NONE FUNC USER32.dll   IsChild
20  0x00455bd8 NONE FUNC USER32.dll   GetSystemMetrics
21  0x00455bdc NONE FUNC USER32.dll   DrawFocusRect
22  0x00455be0 NONE FUNC USER32.dll   LoadCursorFromFileA
23  0x00455be4 NONE FUNC USER32.dll   LoadMenuA
24  0x00455be8 NONE FUNC USER32.dll   LoadCursorA
25  0x00455bec NONE FUNC USER32.dll   MessageBoxExA
26  0x00455bf0 NONE FUNC USER32.dll   ModifyMenuA
27  0x00455bf4 NONE FUNC USER32.dll   MessageBeep
28  0x00455bf8 NONE FUNC USER32.dll   KillTimer
29  0x00455bfc NONE FUNC USER32.dll   RegisterWindowMessageA
30  0x00455c00 NONE FUNC USER32.dll   ReleaseCapture
31  0x00455c04 NONE FUNC USER32.dll   PostMessageA
32  0x00455c08 NONE FUNC USER32.dll   ScreenToClient
33  0x00455c0c NONE FUNC USER32.dll   ReleaseDC
34  0x00455c10 NONE FUNC USER32.dll   OemToCharA
35  0x00455c14 NONE FUNC USER32.dll   DestroyCursor
36  0x00455c18 NONE FUNC USER32.dll   SetWindowPos
37  0x00455c1c NONE FUNC USER32.dll   SetWindowTextA
38  0x00455c20 NONE FUNC USER32.dll   SetTimer
39  0x00455c24 NONE FUNC USER32.dll   ShowWindow
40  0x00455c28 NONE FUNC USER32.dll   TrackPopupMenu
41  0x00455c2c NONE FUNC USER32.dll   ShowCursor
42  0x00455c30 NONE FUNC USER32.dll   SetForegroundWindow
43  0x00455c34 NONE FUNC USER32.dll   wsprintfA
44  0x00455c38 NONE FUNC USER32.dll   WindowFromPoint
45  0x00455c3c NONE FUNC USER32.dll   SetCursor
46  0x00455c40 NONE FUNC USER32.dll   SetCapture
1   0x00455c48 NONE FUNC OWL52t.dll   @TGdiObject@RefAdd$qpv16TGdiObject@TType
2   0x00455c4c NONE FUNC OWL52t.dll   @TGdiObject@$bdtr$qv
3   0x00455c50 NONE FUNC OWL52t.dll   @TDC@SelectObject$qrx4TPen
4   0x00455c54 NONE FUNC OWL52t.dll   @TGdiBase@CheckValid$qui
5   0x00455c58 NONE FUNC OWL52t.dll   @TGauge@StepIt$qv
6   0x00455c5c NONE FUNC OWL52t.dll   @TDC@ScaleWindowExt$qiiiip5TSize
7   0x00455c60 NONE FUNC OWL52t.dll   @TApplication@SetMainWindow$qp12TFrameWindow
8   0x00455c64 NONE FUNC OWL52t.dll   @TGauge@SetValue$qi
9   0x00455c68 NONE FUNC OWL52t.dll   @TGauge@SetStep$qi
10  0x00455c6c NONE FUNC OWL52t.dll   @TDC@ScaleViewportExt$qiiiip5TSize
11  0x00455c70 NONE FUNC OWL52t.dll   @TGauge@SetRange$qii
12  0x00455c74 NONE FUNC OWL52t.dll   @TGauge@$bctr$qp7TWindowip7TModule
13  0x00455c78 NONE FUNC OWL52t.dll   @TDC@SaveDC$xqv
14  0x00455c7c NONE FUNC OWL52t.dll   @TApplication@Run$qv
15  0x00455c80 NONE FUNC OWL52t.dll   @TApplication@Dispatch$qr24TEventHandler@TEventInfouil
16  0x00455c84 NONE FUNC OWL52t.dll   @TFrameWindow@SetupWindow$qv
17  0x00455c88 NONE FUNC OWL52t.dll   @TFrameWindow@SetMenu$qp7HMENU__
18  0x00455c8c NONE FUNC OWL52t.dll   @TDC@RestoreFont$qv
19  0x00455c90 NONE FUNC OWL52t.dll   @TFrameWindow@SetIconSm$qp7TModule6TResId
20  0x00455c94 NONE FUNC OWL52t.dll   @TFrameWindow@SetIcon$qp7TModule6TResId
21  0x00455c98 NONE FUNC OWL52t.dll   @TDC@RestoreDC$qi
22  0x00455c9c NONE FUNC OWL52t.dll   @TApplication@ProcessMsg$qr6tagMSG
23  0x00455ca0 NONE FUNC OWL52t.dll   @TFrameWindow@SetDocTitle$qpxci
24  0x00455ca4 NONE FUNC OWL52t.dll   @TFrameWindow@SetClientWindow$qp7TWindow
25  0x00455ca8 NONE FUNC OWL52t.dll   @TDC@RestoreBrush$qv
26  0x00455cac NONE FUNC OWL52t.dll   @TFrameWindow@RemoveChild$qp7TWindow
27  0x00455cb0 NONE FUNC OWL52t.dll   @TFrameWindow@PreProcessMsg$qr6tagMSG
28  0x00455cb4 NONE FUNC OWL52t.dll   @TDC@ResetDCA$qr12_devicemodeA
29  0x00455cb8 NONE FUNC OWL52t.dll   @TApplication@ProcessAppMsg$qr6tagMSG
30  0x00455cbc NONE FUNC OWL52t.dll   @TApplication@CanClose$qv
31  0x00455cc0 NONE FUNC OWL52t.dll   @B_U_U_U_Dispatch$qr7GENERICM7GENERICquiuiui$4booluil
32  0x00455cc4 NONE FUNC OWL52t.dll   @TFrameWindow@IdleAction$ql
33  0x00455cc8 NONE FUNC OWL52t.dll   @TFrameWindow@HoldFocusHWnd$qp6HWND__t1
34  0x00455ccc NONE FUNC OWL52t.dll   @TDC@OffsetViewportOrg$qrx6TPointp6TPoint
35  0x00455cd0 NONE FUNC OWL52t.dll   @TFrameWindow@GetCommandTarget$qv
36  0x00455cd4 NONE FUNC OWL52t.dll   @TFrameWindow@GetClientWindow$qv
37  0x00455cd8 NONE FUNC OWL52t.dll   @TDC@GrayStringA$qrx6TBrushpqqsp5HDC__li$ipxcirx5TRect
38  0x00455cdc NONE FUNC OWL52t.dll   @TApplication@PreProcessMenu$qp7HMENU__
39  0x00455ce0 NONE FUNC OWL52t.dll   @v_WPARAM_Dispatch$qr7GENERICM7GENERICqui$vuil
40  0x00455ce4 NONE FUNC OWL52t.dll   @v_U_U_W_Dispatch$qr7GENERICM7GENERICquiuiui$vuil
41  0x00455ce8 NONE FUNC OWL52t.dll   @TFrameWindow@Find$qr24TEventHandler@TEventInfopqr31%TResponseTableEntry$t7GENERIC%r24TEventHandler@TEventInfo$4bool
42  0x00455cec NONE FUNC OWL52t.dll   @v_U_U_U_Dispatch$qr7GENERICM7GENERICquiuiui$vuil
43  0x00455cf0 NONE FUNC OWL52t.dll   @v_U_POINT_Dispatch$qr7GENERICM7GENERICquir6TPoint$vuil
44  0x00455cf4 NONE FUNC OWL52t.dll   @TFrameWindow@EvCommandEnable$qr15TCommandEnabler
45  0x00455cf8 NONE FUNC OWL52t.dll   @TDC@GetDeviceCaps$xqi
46  0x00455cfc NONE FUNC OWL52t.dll   @v_POINTER_Dispatch$qr7GENERICM7GENERICqpv$vuil
47  0x00455d00 NONE FUNC OWL52t.dll   @v_MdiActivate_Dispatch$qr7GENERICM7GENERICquiui$vuil
48  0x00455d04 NONE FUNC OWL52t.dll   @TFrameWindow@EvCommand$quip6HWND__ui
49  0x00455d08 NONE FUNC OWL52t.dll   @v_Dispatch$qr7GENERICM7GENERICqv$vuil
50  0x00455d0c NONE FUNC OWL52t.dll   @v_B_U_Dispatch$qr7GENERICM7GENERICq4boolui$vuil
51  0x00455d10 NONE FUNC OWL52t.dll   @TFrameWindow@CleanupWindow$qv
52  0x00455d14 NONE FUNC OWL52t.dll   @TDC@GetAttributeHDC$xqv
53  0x00455d18 NONE FUNC OWL52t.dll   @TApplication@MessageLoop$qv
54  0x00455d1c NONE FUNC OWL52t.dll   @TApplication@$bdtr$qv
55  0x00455d20 NONE FUNC OWL52t.dll   @U_U_U_U_Dispatch$qr7GENERICM7GENERICquiuiui$uiuil
56  0x00455d24 NONE FUNC OWL52t.dll   @TXGdi@Raise$quipv
57  0x00455d28 NONE FUNC OWL52t.dll   @TFrameWindow@AssignMenu$q6TResId
58  0x00455d2c NONE FUNC OWL52t.dll   @TWindowDC@$bdtr$qv
59  0x00455d30 NONE FUNC OWL52t.dll   @TWindow@WindowProc$quiuil
60  0x00455d34 NONE FUNC OWL52t.dll   @TFrameWindow@$bdtr$qv
61  0x00455d38 NONE FUNC OWL52t.dll   @TDC@ExtTextOutA$qiiuspx5TRectpxcipxi
62  0x00455d3c NONE FUNC OWL52t.dll   @TWindow@TransferData$q18TTransferDirection
63  0x00455d40 NONE FUNC OWL52t.dll   @TWindow@Transfer$qpv18TTransferDirection
64  0x00455d44 NONE FUNC OWL52t.dll   @TFrameWindow@$bctr$qp7TWindowpxct14boolp7TModule
65  0x00455d48 NONE FUNC OWL52t.dll   @TWindow@ShowWindow$qi
66  0x00455d4c NONE FUNC OWL52t.dll   @TWindow@SetupWindow$qv
67  0x00455d50 NONE FUNC OWL52t.dll   @TFont@$bctr$qrx5TFont
